Defect ID,Severity,Priority,Description,Comments,Status,Reported Date,Closed Date,Root Cause,Reopen Count,Module Name,Assigned To,Created By
D0001,Low,P3,Concurrency issue during interest computation.,Saepe nam rerum praesentium quia.,In Progress,2024-04-24,,Null Pointer,1,Bill Payments,Emir Ramesh,Vidur Sura
D0002,Low,P2,Amount field not formatted correctly in transaction history export.,Doloribus illo quisquam soluta commodi.,Closed,2023-08-16,2023-08-17,Memory Leak,1,Authentication Gateway,Nehmat Ram,Jayant Choudhury
D0003,High,P2,Timeout during KYC check API call.,Aliquam magnam voluptatem eaque ab aspernatur quod laudantium.,Closed,2025-01-10,2025-01-11,Bad Request Handling,3,Loan Processing,Mannat Sharma,Kashvi Verma
D0004,High,P1,Amount field not formatted correctly in transaction history export.,Nihil corporis iure tempora.,Closed,2024-06-12,2024-06-13,API Timeout,1,UPI Service,Aaina Goel,Heer Dass
D0005,Medium,P1,Array index out of bounds in bill payment validation flow.,Quae vitae rerum voluptas placeat rem quisquam corporis.,Closed,2024-11-24,2024-11-25,Incorrect Business Logic,1,UPI Service,Lagan Rattan,Jayant Choudhury
D0006,Medium,P1,Amount field not formatted correctly in transaction history export.,Deserunt sunt reprehenderit harum nulla ipsum omnis.,Closed,2024-05-14,2024-05-16,Race Condition,3,Authentication Gateway,Tarini Dass,Gokul Manne
D0007,Low,P3,NullPointerException when calling balance check endpoint.,Ab excepturi commodi quisquam dolorem fugit.,Closed,2023-07-29,2023-07-30,Null Pointer,0,Account Ledger,Aaina Goel,Elakshi Kaur
D0008,Critical,P1,Incorrect balance calculation after mini-statement fetch.,Tenetur nostrum vel nihil repudiandae occaecati suscipit.,Closed,2024-08-06,2024-08-07,API Timeout,0,Account Ledger,Kaira Sharma,Manjari Kala
D0009,Critical,P2,API throws 400 for valid request payload due to schema mismatch.,Omnis temporibus voluptatum itaque voluptatum quisquam.,Closed,2025-04-28,2025-04-29,Race Condition,3,UPI Service,Nirvaan Lad,Shayak Hegde
D0010,Low,P1,Timeout during KYC check API call.,Necessitatibus nesciunt cum labore unde odio nemo.,Closed,2024-07-26,2024-07-27,Incorrect Business Logic,0,UPI Service,Lagan Rattan,Tushar Khare
D0011,Medium,P1,Array index out of bounds in bill payment validation flow.,Harum modi vitae.,Closed,2025-05-10,2025-05-12,Incorrect Business Logic,3,UPI Service,Lagan Rattan,Jayant Choudhury
D0012,Medium,P3,Array index out of bounds in bill payment validation flow.,Deleniti eos tempora laudantium minus minima.,In Progress,2025-01-23,2025-01-26,Bad Request Handling,0,Authentication Gateway,Lagan Rattan,Tushar Subramaniam
D0013,Low,P3,Date parsing issue causes crash in EMI module.,Quisquam dolore quidem.,Closed,2025-03-07,2025-03-09,Bad Request Handling,3,Loan Processing,Aniruddh Bhatnagar,Farhan Mahajan
D0014,Medium,P3,Date parsing issue causes crash in EMI module.,Eius autem delectus possimus eos nobis.,Closed,2023-07-26,2023-07-27,Incorrect Business Logic,2,Bill Payments,Emir Ramesh,Nayantara Bassi
